,participant_country,participant_country_id,participant_maddison_code,participant_region,participant_deaths,conflict_name,conflict_start_year,conflict_end_year,COW_id,UCDP_id,state_conflict_type,year,year_deaths_share,year_deaths
0,United States of America,2.0,USA,Americas,4234.0,American-Philippino,1899,1902,392,,Extrasystemic,1900,0.33329163800112577,1411.1567952967664
1,Philippines,840.0,PHL,Asia,16000.0,American-Philippino,1899,1902,392,,Extrasystemic,1900,0.33329163800112577,5332.666208018012
2,United Kingdom,200.0,GBR,Europe,5774.0,Boer War of 1899,1899,1902,395,,Extrasystemic,1900,0.3333333333333333,1924.6666666666665
3,South Africa,560.0,ZAF,Africa,6650.0,Boer War of 1899,1899,1902,395,,Extrasystemic,1900,0.3333333333333333,2216.6666666666665
4,China,710.0,CHN,Asia,2000.0,Boxer Rebellion,1900,1900,82,,Interstate,1900,1.0,2000.0
5,USSR,364.0,SUN,Europe,302.0,Boxer Rebellion,1900,1900,82,,Interstate,1900,1.0,302.0
6,Japan,740.0,JPN,Asia,622.0,Boxer Rebellion,1900,1900,82,,Interstate,1900,1.0,622.0
7,United Kingdom,200.0,GBR,Europe,34.0,Boxer Rebellion,1900,1900,82,,Interstate,1900,1.0,34.0
8,United States of America,2.0,USA,Americas,21.0,Boxer Rebellion,1900,1900,82,,Interstate,1900,1.0,21.0
9,France,220.0,FRA,Europe,24.0,Boxer Rebellion,1900,1900,82,,Interstate,1900,1.0,24.0
10,Colombia,100.0,COL,Americas,50000.0,Colombia vs. Liberals of 1899,1899,1903,582,,Internal,1900,0.25,12500.0
11,USSR,364.0,SUN,Europe,242.0,Sino-Russian,1900,1900,83,,Interstate,1900,1.0,242.0
12,China,710.0,CHN,Asia,3758.0,Sino-Russian,1900,1900,83,,Interstate,1900,1.0,3758.0
13,United Kingdom,200.0,GBR,Europe,200.0,Somali Rebellion,1899,1905,393,,Extrasystemic,1900,0.10526315789473684,21.052631578947366
14,Somalia,520.0,SOM,Africa,4000.0,Somali Rebellion,1899,1905,393,,Extrasystemic,1900,0.10526315789473684,421.05263157894734
15,United States of America,2.0,USA,Americas,4234.0,American-Philippino,1899,1902,392,,Extrasystemic,1901,0.3333541809994371,1411.4216023516167
16,Philippines,840.0,PHL,Asia,16000.0,American-Philippino,1899,1902,392,,Extrasystemic,1901,0.3333541809994371,5333.666895990993
17,United Kingdom,200.0,GBR,Europe,5774.0,Boer War of 1899,1899,1902,395,,Extrasystemic,1901,0.3333333333333333,1924.6666666666665
18,South Africa,560.0,ZAF,Africa,6650.0,Boer War of 1899,1899,1902,395,,Extrasystemic,1901,0.3333333333333333,2216.6666666666665
19,Colombia,100.0,COL,Americas,50000.0,Colombia vs. Liberals of 1899,1899,1903,582,,Internal,1901,0.25,12500.0
20,United Kingdom,200.0,GBR,Europe,200.0,Somali Rebellion,1899,1905,393,,Extrasystemic,1901,0.14473684210526316,28.947368421052634
21,Somalia,520.0,SOM,Africa,4000.0,Somali Rebellion,1899,1905,393,,Extrasystemic,1901,0.14473684210526316,578.9473684210526
22,Venezuela,101.0,VEN,Americas,1050.0,Venezuela vs. Matos Led Rebels,1901,1903,584,,Internal,1901,0.3333333333333333,350.0
23,United States of America,2.0,USA,Americas,4234.0,American-Philippino,1899,1902,392,,Extrasystemic,1902,0.3333541809994371,1411.4216023516167
24,Philippines,840.0,PHL,Asia,16000.0,American-Philippino,1899,1902,392,,Extrasystemic,1902,0.3333541809994371,5333.666895990993
25,United Kingdom,200.0,GBR,Europe,5774.0,Boer War of 1899,1899,1902,395,,Extrasystemic,1902,0.3333333333333333,1924.6666666666665
26,South Africa,560.0,ZAF,Africa,6650.0,Boer War of 1899,1899,1902,395,,Extrasystemic,1902,0.3333333333333333,2216.6666666666665
27,Colombia,100.0,COL,Americas,50000.0,Colombia vs. Liberals of 1899,1899,1903,582,,Internal,1902,0.25,12500.0
28,United Kingdom,200.0,GBR,Europe,200.0,Somali Rebellion,1899,1905,393,,Extrasystemic,1902,0.15789473684210525,31.57894736842105
29,Somalia,520.0,SOM,Africa,4000.0,Somali Rebellion,1899,1905,393,,Extrasystemic,1902,0.15789473684210525,631.578947368421
30,Venezuela,101.0,VEN,Americas,1050.0,Venezuela vs. Matos Led Rebels,1901,1903,584,,Internal,1902,0.3333333333333333,350.0
31,Nigeria,475.0,NGA,Africa,365.0,British Conquest of Kano &Sokoto,1903,1903,396,,Extrasystemic,1903,1.0,365.0
32,Colombia,100.0,COL,Americas,50000.0,Colombia vs. Liberals of 1899,1899,1903,582,,Internal,1903,0.25,12500.0
33,Turkey,640.0,TUR,Europe,6322.0,Ottoman Empire vs. VMRO Rebels,1903,1903,585,,Internal,1903,1.0,6322.0
34,United Kingdom,200.0,GBR,Europe,200.0,Somali Rebellion,1899,1905,393,,Extrasystemic,1903,0.2894736842105263,57.89473684210527
35,Somalia,520.0,SOM,Africa,4000.0,Somali Rebellion,1899,1905,393,,Extrasystemic,1903,0.2894736842105263,1157.8947368421052
36,Venezuela,101.0,VEN,Americas,1050.0,Venezuela vs. Matos Led Rebels,1901,1903,584,,Internal,1903,0.3333333333333333,350.0
37,USSR,364.0,SUN,Europe,52623.0,Russo-Japanese,1904,1905,85,,Interstate,1904,0.24999325533503,13155.395075495284
38,Japan,740.0,JPN,Asia,58576.0,Russo-Japanese,1904,1905,85,,Interstate,1904,0.24999325533503,14643.604924504718
39,United Kingdom,200.0,GBR,Europe,200.0,Somali Rebellion,1899,1905,393,,Extrasystemic,1904,0.27631578947368424,55.26315789473685
40,Somalia,520.0,SOM,Africa,4000.0,Somali Rebellion,1899,1905,393,,Extrasystemic,1904,0.27631578947368424,1105.2631578947369
41,Germany,255.0,DEU,Europe,887.0,South West African Revolt,1904,1905,397,,Extrasystemic,1904,0.4999579372423656,443.4626903339783
42,Namibia,565.0,NAM,Africa,11000.0,South West African Revolt,1904,1905,397,,Extrasystemic,1904,0.4999579372423656,5499.537309666021
43,Uruguay,165.0,URY,Americas,880.0,Uruguay vs. Blancos,1904,1904,587,,Internal,1904,1.0,880.0
44,Germany,255.0,DEU,Europe,130.0,Maji-Maji Revolt,1905,1906,399,,Extrasystemic,1905,0.5,65.0
45,Tanzania,510.0,TZA,Africa,870.0,Maji-Maji Revolt,1905,1906,399,,Extrasystemic,1905,0.5,435.0
46,USSR,364.0,SUN,Europe,16500.0,Russia vs. Workers/Peasants,1905,1906,588,,Internal,1905,0.5,8250.0
47,USSR,364.0,SUN,Europe,52623.0,Russo-Japanese,1904,1905,85,,Interstate,1905,0.75000674466497,39467.60492450472
48,Japan,740.0,JPN,Asia,58576.0,Russo-Japanese,1904,1905,85,,Interstate,1905,0.75000674466497,43932.39507549528
49,United Kingdom,200.0,GBR,Europe,200.0,Somali Rebellion,1899,1905,393,,Extrasystemic,1905,0.02631578947368421,5.263157894736842
50,Somalia,520.0,SOM,Africa,4000.0,Somali Rebellion,1899,1905,393,,Extrasystemic,1905,0.02631578947368421,105.26315789473684
51,Germany,255.0,DEU,Europe,887.0,South West African Revolt,1904,1905,397,,Extrasystemic,1905,0.5000420627576344,443.5373096660217
52,Namibia,565.0,NAM,Africa,11000.0,South West African Revolt,1904,1905,397,,Extrasystemic,1905,0.5000420627576344,5500.462690333979
53,United Kingdom,200.0,GBR,Europe,56.0,British-Zulu of 1906,1906,1906,400,,Extrasystemic,1906,1.0,56.0
54,South Africa,560.0,ZAF,Africa,2300.0,British-Zulu of 1906,1906,1906,400,,Extrasystemic,1906,1.0,2300.0
55,Germany,255.0,DEU,Europe,130.0,Maji-Maji Revolt,1905,1906,399,,Extrasystemic,1906,0.5,65.0
56,Tanzania,510.0,TZA,Africa,870.0,Maji-Maji Revolt,1905,1906,399,,Extrasystemic,1906,0.5,435.0
57,USSR,364.0,SUN,Europe,16500.0,Russia vs. Workers/Peasants,1905,1906,588,,Internal,1906,0.5,8250.0
58,Honduras,91.0,HND,Americas,450.0,Third Central American,1906,1906,88,,Interstate,1906,1.0,450.0
59,El Salvador,92.0,SLV,Americas,450.0,Third Central American,1906,1906,88,,Interstate,1906,1.0,450.0
60,Guatemala,90.0,GTM,Americas,600.0,Third Central American,1906,1906,88,,Interstate,1906,1.0,600.0
61,El Salvador,92.0,SLV,Americas,300.0,Fourth Central American,1907,1907,91,,Interstate,1907,1.0,300.0
62,Nicaragua,93.0,NIC,Americas,400.0,Fourth Central American,1907,1907,91,,Interstate,1907,1.0,400.0
63,Honduras,91.0,HND,Americas,300.0,Fourth Central American,1907,1907,91,,Interstate,1907,1.0,300.0
64,France,220.0,FRA,Europe,200.0,Morocco vs. Fez Caids of 1907,1907,1908,590,,Internal,1907,0.5,100.0
65,Morocco,600.0,MAR,Africa,1000.0,Morocco vs. Fez Caids of 1907,1907,1908,590,,Internal,1907,0.5,500.0
66,Romania,360.0,ROU,Europe,6500.0,Rumania vs. Peasants,1907,1907,589,,Internal,1907,1.0,6500.0
67,Iran,630.0,IRN,Middle East,1000.0,Iran vs. Constitutionalists,1908,1909,591,,Internal,1908,0.5,500.0
68,France,220.0,FRA,Europe,200.0,Morocco vs. Fez Caids of 1907,1907,1908,590,,Internal,1908,0.5,100.0
69,Morocco,600.0,MAR,Africa,1000.0,Morocco vs. Fez Caids of 1907,1907,1908,590,,Internal,1908,0.5,500.0
70,Iran,630.0,IRN,Middle East,1000.0,Iran vs. Constitutionalists,1908,1909,591,,Internal,1909,0.5,500.0
71,USSR,364.0,SUN,Europe,100.0,Iran vs. Constitutionalists,1909,1909,591,,Internal,1909,1.0,100.0
72,Spain,230.0,ESP,Europe,1000.0,Spanish-Moroccan,1909,1910,94,,Interstate,1909,0.5,500.0
73,Morocco,600.0,MAR,Africa,4000.0,Spanish-Moroccan,1909,1910,94,,Interstate,1909,0.5,2000.0
74,Mexico,70.0,MEX,Americas,250000.0,Mexico vs. Liberals & Radicals,1910,1920,592,,Internal,1910,0.075552,18888.0
75,Spain,230.0,ESP,Europe,1000.0,Spanish-Moroccan,1909,1910,94,,Interstate,1910,0.5,500.0
76,Morocco,600.0,MAR,Africa,4000.0,Spanish-Moroccan,1909,1910,94,,Interstate,1910,0.5,2000.0
77,China,710.0,CHN,Asia,1500.0,China vs. Republicans of 1911,1911,1911,595,,Internal,1911,1.0,1500.0
