state_abb,rep_2016_actual,dem_2016_actual,dem_2016_pred,rep_2016_pred,total_evs_2016,dem_mandatory,rep_mandatory,winner_2016,dem_ev_2016,dem_evs_2016pred,dem_evs_mandatory,dem_probability_mandatory,dem_probability_2016pred
AK,0.583856547151378,0.416143452848622,0.469741802334141,0.530258197665859,3,0.47932920945691,0.520670790543089,R,0,0,0,0.284316517438391,0.202007947821231
AL,0.643741435790557,0.356258564209443,0.404825934989375,0.595174065010625,9,0.429917827203349,0.570082172796651,R,0,0,0,0.0266335515473181,0.00433573702565821
AR,0.642851377235117,0.357148622764883,0.377287364695405,0.622712635304595,6,0.394281078892157,0.605718921107843,R,0,0,0,0.00177530458549919,3.5691773658667e-4
AZ,0.518900234399612,0.481099765600388,0.480383695471307,0.519616304528693,11,0.501220229713464,0.498779770286536,R,0,0,11,0.513422630627867,0.294258998648124
CA,0.33871779431692,0.66128220568308,0.645735171575234,0.354264828424766,55,0.666434973742417,0.333565026257583,D,55,55,55,0.999997783752756,0.999970793584083
CO,0.473166666349044,0.526833333650956,0.548601211730028,0.451398788269972,9,0.562423405532676,0.437576594467324,D,9,9,9,0.957422942055559,0.909932613364907
CT,0.428584524939366,0.571415475060634,0.571084566902162,0.428915433097838,7,0.587608479704444,0.412391520295556,D,7,7,7,0.992156025492405,0.975025094692766
DC,0.0430481170051644,0.956951882994836,0.873070802589288,0.126929197410712,3,0.879767623086659,0.120232376913341,D,3,3,3,1,1
DE,0.440013785358109,0.559986214641891,0.552780845310057,0.447219154689943,3,0.572509097369117,0.427490902630883,D,3,3,3,0.977232569571859,0.927249421938279
FL,0.506188354673501,0.493811645326499,0.498624919111973,0.501375080888027,29,0.524387721392811,0.475612278607189,R,0,0,29,0.749390378357724,0.484874763701458
GA,0.526611726030804,0.473388273969196,0.491791271273406,0.508208728726594,16,0.51877560778347,0.48122439221653,R,0,0,16,0.697701048728722,0.410451767616861
HI,0.325586625553179,0.674413374446821,0.727525004551939,0.272474995448061,4,0.736788952275158,0.263211047724842,D,4,4,4,0.999999999967169,0.999999999824912
IA,0.550635478174509,0.449364521825491,0.475078954093972,0.524921045906028,6,0.483839502344671,0.516160497655329,R,0,0,0,0.327914382632927,0.245952900722502
ID,0.683101767085767,0.316898232914233,0.350440948281446,0.649559051718554,4,0.361177607055322,0.638822392944678,R,0,0,0,6.44660505205005e-5,1.85698955515804e-5
IL,0.409799486250981,0.590200513749019,0.568054625557059,0.431945374442941,20,0.587574826144703,0.412425173855297,D,20,20,20,0.992136008665508,0.969729494636255
IN,0.601173095378224,0.398826904621776,0.42449312356719,0.57550687643281,11,0.436435264978051,0.563564735021949,R,0,0,0,0.0398002187860051,0.0186550988645339
KS,0.611114703614057,0.388885296385943,0.406020815611822,0.593979184388178,6,0.418722433276287,0.581277566723713,R,0,0,0,0.0124968710385263,0.00477391803305439
KY,0.656706290580649,0.343293709419351,0.364160605714515,0.635839394285485,8,0.377501450230081,0.622498549769919,R,0,0,0,3.64670365693699e-4,8.97583547505163e-5
LA,0.601716772560375,0.398283227439625,0.44552948169575,0.55447051830425,8,0.473903903314186,0.526096096685814,R,0,0,0,0.235858950119103,0.066521977554893
MA,0.353487212792983,0.646512787207017,0.599147468084702,0.400852531915298,11,0.613387286708915,0.386612713291085,D,11,11,11,0.99911709599048,0.996874550615429
MD,0.359837503092759,0.640162496907241,0.618464014037962,0.381535985962038,10,0.636547883448522,0.363452116551478,D,10,10,10,0.999916979176698,0.999456607412225
ME*,0.48403208842947,0.51596791157053,0.522298678330426,0.477701321669574,4,0.52684975116219,0.47315024883781,D,4,4,4,0.770492952471066,0.730709522754788
MI,0.50117668180454,0.49882331819546,0.508248969263881,0.491751030736119,16,0.523295935156654,0.476704064843346,R,0,16,16,0.739713681767109,0.589979710224083
MN,0.491681430558866,0.508318569441134,0.5021023766775,0.4978976233225,10,0.512441731635785,0.487558268364216,D,10,10,10,0.634246720470733,0.523117734095498
MO,0.598185610016185,0.401814389983815,0.427115855743505,0.572884144256495,10,0.440499715019403,0.559500284980596,R,0,0,0,0.050407176936081,0.0222143840331547
MS,0.590898473117147,0.409101526882853,0.468235793944716,0.531764206055284,6,0.497999867254174,0.502000132745826,R,0,0,0,0.478005371246623,0.190514008649173
MT,0.611096643642993,0.388903356357007,0.423703044657539,0.576296955342461,3,0.430270807574435,0.569729192425565,R,0,0,0,0.0272391097233763,0.0176830093257658
NC,0.519037457884445,0.480962542115555,0.48963250324113,0.51036749675887,15,0.508829332353133,0.491170667646866,R,0,0,15,0.596190271211297,0.387470374883786
ND,0.698092428540629,0.301907571459371,0.387343409264385,0.612656590735615,3,0.396800239892442,0.603199760107558,R,0,0,0,0.00221307533015499,9.4536416385293e-4
NE*,0.635476740867645,0.364523259132355,0.396883061500082,0.603116938499918,5,0.409322574154648,0.590677425845352,R,0,0,0,0.00619684918051158,0.00222900136412561
NH,0.498029715877484,0.501970284122516,0.502570446842717,0.497429553157283,4,0.508629885004927,0.491370114995073,D,4,4,4,0.594058601137725,0.528256802699931
NJ,0.427158098644711,0.572841901355289,0.579972837244107,0.420027162755893,14,0.601021458155252,0.398978541844748,D,14,14,14,0.997331880769859,0.986291088097264
NM,0.453491275311794,0.546508724688206,0.602461254112268,0.397538745887732,5,0.620266245267203,0.379733754732797,D,5,5,5,0.999544631653734,0.99764120325588
NV,0.487062905589415,0.512937094410585,0.533712426798631,0.466287573201369,6,0.552299721511369,0.447700278488631,D,6,6,6,0.925396604403084,0.823745167760734
NY,0.382305252965154,0.617694747034846,0.629588216998606,0.370411783001394,29,0.649368332948258,0.350631667051742,D,29,29,29,0.999981001131793,0.999824098902703
OH,0.542676845754981,0.457323154245019,0.470437554954768,0.529562445045232,18,0.483206724333209,0.516793275666791,R,0,0,0,0.321635424256645,0.207455219962312
OK,0.693047372205715,0.306952627794286,0.356337645873565,0.643662354126435,7,0.37127172296963,0.62872827703037,R,0,0,0,1.92534587723574e-4,3.71673154596351e-5
OR,0.438441610661168,0.561558389338832,0.542216318888971,0.457783681111029,7,0.551478030847082,0.448521969152918,D,7,7,7,0.922149283725502,0.877839759850592
PA,0.503755357870502,0.496244642129498,0.488202690058144,0.511797309941856,20,0.502031156196449,0.497968843803551,R,0,0,20,0.522335426803354,0.372458062749547
RI,0.416892958944804,0.583107041055196,0.58847968533391,0.41152031466609,4,0.60260841935035,0.397391580649649,D,4,4,4,0.997670916636517,0.992658845241181
SC,0.574602563606774,0.425397436393226,0.452853311886424,0.547146688113576,9,0.475115296340897,0.524884703659103,R,0,0,0,0.246268741889087,0.0967616148935694
SD,0.659718580587785,0.340281419412215,0.387477836583023,0.612522163416977,3,0.396461816557286,0.603538183442714,R,0,0,0,0.00214906489999845,9.57287822560501e-4
TN,0.636243430465671,0.363756569534329,0.391283713266862,0.608716286733138,11,0.41152330108117,0.58847669891883,R,0,0,0,0.00734282867959903,0.00135783691634645
TX,0.547132255768925,0.452867744231075,0.480594203151383,0.519405796848617,38,0.507745903315703,0.492254096684297,R,0,0,38,0.584577935045785,0.296262890838012
UT,0.623836581926415,0.376163418073585,0.313902028501275,0.686097971498725,6,0.323931857614353,0.676068142385647,R,0,0,0,5.99916776138328e-7,1.43133465679586e-7
VA,0.471736237317738,0.528263762682262,0.523343489072398,0.476656510927602,13,0.542086290105486,0.457913709894514,D,13,13,13,0.877111841999668,0.74013913498954
VT,0.348135737076946,0.651864262923054,0.623179207667386,0.376820792332614,3,0.628282612528028,0.371717387471972,D,3,3,3,0.999798277528391,0.999659450575146
WA,0.412130688033755,0.587869311966245,0.562502155259066,0.437497844740934,12,0.573508238611934,0.426491761388066,D,12,12,12,0.978680774213138,0.957619441318353
WI,0.504079890403993,0.495920109596007,0.491663359561379,0.508336640438621,10,0.503246987448186,0.496753012551814,R,0,0,10,0.535676194469279,0.409080616314699
WV,0.721610522613785,0.278389477386215,0.340152442879607,0.659847557120393,5,0.348469288624403,0.651530711375597,R,0,0,0,1.4642018505203e-5,5.20857445961857e-6
WY,0.757053195913441,0.242946804086559,0.328632891849718,0.671367108150282,3,0.338048270316553,0.661951729683447,R,0,0,0,3.97812139581585e-6,1.14482453535327e-6
